name,specialtylabel
pharynx neoplasms,oncology
Pharynx Tumor,oncology
Tumor of Pharynx,oncology
Tumor of the Pharynx,oncology
Neoplasm of Prostate,oncology
neoplasm of prostate gland,oncology
Neoplasm of the Prostate,oncology
prostate gland neoplasm (disease),oncology
prostate gland tumor,oncology
Prostate Tumor,oncology
Prostatic Neoplasm,oncology
Prostatic Neoplasms,oncology
Tumor of Prostate,oncology
tumor of prostate gland,oncology
neoplasm of uterus,oncology
Neoplasm of the Uterus,oncology
Tumor of the Uterus,oncology
tumor of uterus,oncology
Uterine Neoplasm,oncology
Uterine Neoplasms,oncology
uterus neoplasm (disease),oncology
uterus tumor,oncology
Esophageal Neoplasm,oncology
esophageal neoplasms,oncology
"Esophageal Neoplasms, Benign and Malignant",oncology
Esophageal Tumor,oncology
COVID-19-associated ARDS,pulmonology
primary angiitis of the central nervous system,rheumatology
Isolated angiitis of the central nervous system,angiology
PACNS,angiology
PCNSV,angiology
primary angiitis of the CNS,angiology
primary brain vasculitis,angiology
Primary central nervous system vasculitis,angiology
primary vasculitis of the central nervous system,angiology
primary vasculitis of the CNS,angiology
Oral tuberculosis,oral and maxillofacial surgery
Oral tuberculosis (disorder),oral and maxillofacial surgery
"Myopathies, Structural, Congenital",rheumatology
Isolated angiitis of the central nervous system,rheumatology
PACNS,rheumatology
PCNSV,rheumatology
primary angiitis of the CNS,rheumatology
primary brain vasculitis,rheumatology
Primary central nervous system vasculitis,rheumatology
primary vasculitis of the central nervous system,rheumatology
primary vasculitis of the CNS,rheumatology
oral tuberculosis,oral and maxillofacial surgery
congenital structural myopathy,rheumatology
primary angiitis of the central nervous system,angiology
chronic hepatitis,hepatology
COVID-19-associated acute respiratory distress syndrome,intensive care medicine
sea-blue histiocyte syndrome,angiology
composite lymphoma,angiology
neoplasm of sebaceous gland,dermatology
Sebaceous Gland Neoplasm,dermatology
sebaceous gland neoplasm (disease),dermatology
sebaceous gland tumor,dermatology
Sebaceous neoplasm,dermatology
Sebaceous Tumor,dermatology
tumor of sebaceous gland,dermatology
Chronic liver inflammation,infectious diseases
Recurrent hepatitis,infectious diseases
Entamoeba Infection,infectious diseases
Entamoeba Infections,infectious diseases
Entamoebiases,infectious diseases
pyogenic meningitis,infectious diseases
chronic hepatitis,infectious diseases
entamoebiasis,infectious diseases
acute respiratory tract infection,infectious diseases
purulent meningitis,infectious diseases
clinical depression,psychiatry
unipolar depression,psychiatry
"Histiocytosis, Sea-Blue",medical genetics
SEA-BLUE HISTIOCYTE DISEASE,medical genetics
Sea-blue histiocyte syndrome,medical genetics
Sea-blue histiocyte syndrome (disorder),medical genetics
Sea-Blue Histiocytosis,medical genetics
oral tuberculosis,infectious diseases
Chronic liver inflammation,hepatology
Recurrent hepatitis,hepatology
COVID-19-associated ARDS,intensive care medicine
Oral tuberculosis,infectious diseases
Oral tuberculosis (disorder),infectious diseases
Zanca syndrome,medical genetics
"Congenital heart defects, dysmorphic facial features, and intellectual developmental disorder",medical genetics
XYYY syndrome,medical genetics
"Histiocytosis, Sea-Blue",angiology
SEA-BLUE HISTIOCYTE DISEASE,angiology
Sea-blue histiocyte syndrome,angiology
Sea-blue histiocyte syndrome (disorder),angiology
Sea-Blue Histiocytosis,angiology
Composite Hodgkin and non-Hodgkin lymphoma,angiology
Composite Lymphoma,angiology
sebaceous gland neoplasm,dermatology
endogenous depression,psychiatry
sea-blue histiocyte syndrome,medical genetics
Heart valve dysplasia,cardiology
"CARDIAC VALVULAR DYSPLASIA, X-LINKED",cardiology
"CARDIAC VALVULAR DYSPLASIA, X-LINKED; CVD1",cardiology
Congenital valvular dysplasia,cardiology
CVD1,cardiology
"Myxomatous Valvular Dystrophy, X-Linked",cardiology
"Valvular Heart Disease, Congenital",cardiology
XMVD,cardiology
Zanca's syndrome,medical genetics
CDK13-related disorder,medical genetics
CHDFIDD,medical genetics
"Congenital heart defects, dysmorphic facial features and intellectual developmental disorder",medical genetics
"48,XYYY syndrome",medical genetics
Diastasis symphysis pubis,obstetrics and gynaecology
diurnal enuresis,obstetrics and gynaecology
Frasier syndrome,obstetrics and gynaecology
Granulomatous mastitis,obstetrics and gynaecology
idiopathic chronic fatigue,general practice
baropathy,emergency medicine
van Leeuwenhoek's disease,thoracic surgery
ICF,primary care
asthenia,primary care
asthenia not otherwise specified,primary care
Chronic fatigue (unspecified),primary care
"debility, chronic",primary care
Idiopathic chronic fatigue,primary care
MFD,obstetrics
MPFD,obstetrics
idiopathic chronic fatigue,primary care
massive perivillous fibrin deposition,obstetrics
ICF,general practice
asthenia,general practice
asthenia not otherwise specified,general practice
Chronic fatigue (unspecified),general practice
"debility, chronic",general practice
Idiopathic chronic fatigue,general practice
daytime wetting,obstetrics and gynaecology
FRASIER SYNDROME,obstetrics and gynaecology
Idiopathic granulomatous mastitis,obstetrics and gynaecology
distal muscular dystrophy,neurology
congenital toxoplasmosis,neurology
Foix–Alajouanine syndrome,neurology
Gelastic seizure,neurology
geniculate ganglionitis,neurology
congenital merosin-deficient muscular dystrophy 1A,neurology
male breast neoplasm,dermatology
triple-negative breast neoplasm,dermatology
Miyoshi muscular dystrophy,neurology
MPD3,neurology
Distal muscular dystrophy,neurology
distal myopathies,neurology
distal myopathy,neurology
Distal myopathy,neurology
Distal myopathy type 3,neurology
"MYOPATHY, DISTAL, 3",neurology
"MYOPATHY, DISTAL, 3; MPD3",neurology
Congenital toxoplasmosis,neurology
Congenital toxoplasmosis (disorder),neurology
Toxoplasma embryofetopathy,neurology
Toxoplasma embryopathy,neurology
Toxoplasmosis - congen.,neurology
"Toxoplasmosis, Congenital",neurology
Angiodysgenetic necrotizing myelopathy,neurology
Familial osteosclerosis with abnormalities of the nervous system and meninges,neurology
Subacute angiohypertrophic myelomalacia,neurology
Subacute ascending necrotizing myelitis,neurology
Subacute necrotizing myelitis,neurology
gelastic epilepsy,neurology
geniculate ganglion inflammation,neurology
Geniculate ganglionitis,neurology
Geniculate ganglionitis (disorder),neurology
Geniculate ganglionitis NOS,neurology
CMD1A,neurology
congenital merosin-deficient muscular dystrophy type 1A,neurology
congenital muscular dystrophy due to laminin alpha2 deficiency,neurology
Congenital muscular dystrophy type 1A,neurology
MDC1A,neurology
merosin-deficient congenital muscular dystrophy type 1A,neurology
Merosin-negative congenital muscular dystrophy,neurology
"Muscular Dystrophy, Congenital Merosin-Deficient",neurology
"MUSCULAR DYSTROPHY, CONGENITAL MEROSIN-DEFICIENT, 1A",neurology
"MUSCULAR DYSTROPHY, CONGENITAL MEROSIN-DEFICIENT, 1A; MDC1A",neurology
"Muscular Dystrophy, Congenital Merosin-Deficient, type 1A",neurology
"Muscular Dystrophy, Congenital, Due to Partial Lama2 Deficiency",neurology
pituitary neoplasms,endocrinology
pituitary neoplasm,endocrinology
"breast neoplasm, male",dermatology
"breast neoplasms, male",dermatology
male breast neoplasms,dermatology
triple negative breast neoplasm,dermatology
triple negative breast neoplasms,dermatology
pharynx neoplasm,otolaryngology
nasopharyngeal neoplasm,otolaryngology
LABD,immunology
HIV-associated lipodystrophy syndrome,immunology
obsolete HIV-associated lipodystrophy syndrome,immunology
delta thalassemia,hematology
Giant platelet disorder,hematology
delta beta-thalassemia,hematology
delta-thalassemia,hematology
thalassemia delta,hematology
macrothrombocytopenia,hematology
respiratory tract neoplasm,pulmonology
linear IgA bullous dermatosis,immunology
HIV-associated lipodystrophy,immunology
pharyngeal neoplasm,otolaryngology
Neoplasm of Pharynx,otolaryngology
Neoplasm of the Pharynx,otolaryngology
Pharyngeal Neoplasms,otolaryngology
Pharyngeal Tumor,otolaryngology
pharynx neoplasm (disease),otolaryngology
pharynx neoplasms,otolaryngology
Pharynx Tumor,otolaryngology
Tumor of Pharynx,otolaryngology
Tumor of the Pharynx,otolaryngology
pharynx neoplasm,oral and maxillofacial surgery
nasopharyngeal neoplasm,oral and maxillofacial surgery
daytime wetting,urology
FRASIER SYNDROME,urology
Glomerular Sclerosis,urology
pharyngeal neoplasm,oral and maxillofacial surgery
Neoplasm of Pharynx,oral and maxillofacial surgery
Neoplasm of the Pharynx,oral and maxillofacial surgery
Pharyngeal Neoplasms,oral and maxillofacial surgery
Pharyngeal Tumor,oral and maxillofacial surgery
pharynx neoplasm (disease),oral and maxillofacial surgery
pharynx neoplasms,oral and maxillofacial surgery
Pharynx Tumor,oral and maxillofacial surgery
Tumor of Pharynx,oral and maxillofacial surgery
Tumor of the Pharynx,oral and maxillofacial surgery
diurnal enuresis,urology
Frasier syndrome,urology
glomerulosclerosis,urology
immune-mediated necrotizing myopathy,neurology
bladder neoplasm,obstetrics and gynaecology
DD,gastroenterology
Dentinal dysplasia,gastroenterology
Candida-associated denture induced stomatitis,gastroenterology
chronic atrophic candidiasis,gastroenterology
denture related stomatitis,gastroenterology
denture sore mouth,gastroenterology
Denture stomatitis (disorder),gastroenterology
Denture stomatitis [Ambiguous],gastroenterology
denture-associated erythematous stomatitis,gastroenterology
denture-related stomatitis,gastroenterology
Testicular and paratesticular tumor,urology
testicular neoplasm,urology
testicular neoplasms,urology
bladder tumor,urology
Bladder Tumor,urology
Bladder Tumors,urology
Neoplasm of Bladder,urology
Neoplasm of the Bladder,urology
Neoplasm of the Urinary Bladder,urology
Neoplasm of Urinary Bladder,urology
Tumor of Bladder,urology
Tumor of the Bladder,urology
Tumor of the Urinary Bladder,urology
tumor of urinary bladder,urology
urinary bladder neoplasm,urology
Urinary Bladder Neoplasm,urology
urinary bladder neoplasm (disease),urology
Urinary Bladder Neoplasms,urology
urinary bladder tumor,urology
Urinary Bladder Tumors,urology
NAM,neurology
Anti-HMG-CoA myopathy,neurology
Anti-SRP myopathy,neurology
Autoimmune necrotizing myositis,neurology
Immune myopathy with myocyte necrosis,neurology
IMNM,neurology
bladder tumor,obstetrics and gynaecology
Bladder Tumor,obstetrics and gynaecology
Bladder Tumors,obstetrics and gynaecology
Neoplasm of Bladder,obstetrics and gynaecology
Neoplasm of the Bladder,obstetrics and gynaecology
Neoplasm of the Urinary Bladder,obstetrics and gynaecology
Neoplasm of Urinary Bladder,obstetrics and gynaecology
Tumor of Bladder,obstetrics and gynaecology
Tumor of the Bladder,obstetrics and gynaecology
Tumor of the Urinary Bladder,obstetrics and gynaecology
tumor of urinary bladder,obstetrics and gynaecology
urinary bladder neoplasm,obstetrics and gynaecology
Urinary Bladder Neoplasm,obstetrics and gynaecology
urinary bladder neoplasm (disease),obstetrics and gynaecology
Urinary Bladder Neoplasms,obstetrics and gynaecology
urinary bladder tumor,obstetrics and gynaecology
Urinary Bladder Tumors,obstetrics and gynaecology
tumor of testis and paratestis,urology
bladder neoplasm,urology
Bocavirus infection,infectious diseases
dentin dysplasia,gastroenterology
denture stomatitis,gastroenterology
ileocolitis,gastroenterology
congenital toxoplasmosis,pediatrics
familial dysalbuminemic hyperthyroxinemia,pediatrics
neonatal hypoxic-ischemic  encephalopathy,pediatrics
EGID,gastroenterology
eosinophilic gastrointestinal disorder,gastroenterology
primary eosinophilic gastrointestinal disease,gastroenterology
Congenital toxoplasmosis,pediatrics
Congenital toxoplasmosis (disorder),pediatrics
Toxoplasma embryofetopathy,pediatrics
Toxoplasma embryopathy,pediatrics
Toxoplasmosis - congen.,pediatrics
"Toxoplasmosis, Congenital",pediatrics
Fdh,pediatrics
Euthyroid Hyperthyroxinemia 1,pediatrics
FDAH,pediatrics
"HYPERTHYROXINEMIA, FAMILIAL DYSALBUMINEMIC",pediatrics
"HYPERTHYROXINEMIA, FAMILIAL DYSALBUMINEMIC; FDAH",pediatrics
HIE,pediatrics
Hypoxic ischaemic encephalopathy of newborn,pediatrics
hypoxic ischemic encephalopathy,pediatrics
hypoxic-ischemic encephalopathy,pediatrics
neonatal encephalopathy,pediatrics
Neonatal hypoxic and ischemic brain injury,pediatrics
eosinophilic gastrointestinal disease,gastroenterology
tumor of testis and paratestis,oncology
oral cavity neoplasm,oncology
bladder neoplasm,oncology
endophthalmitis phacoanaphylactica,ophthalmology
Phacolytic glaucoma,ophthalmology
Phacolytic glaucoma (disorder),ophthalmology
Blocked lacrimal canaliculus,ophthalmology
Blocked lacrimal canaliculus (finding),ophthalmology
Obstruction of lacrimal canaliculus,ophthalmology
Obstruction of lacrimal canaliculus (disorder),ophthalmology
Obstruction of lacrimal ducts,ophthalmology
Obstruction of lacrimal ducts (disorder),ophthalmology
fundus dystrophies,ophthalmology
retinal dystrophies,ophthalmology
Retinal Dystrophy,ophthalmology
phacolytic glaucoma,ophthalmology
lacrimal duct obstruction,ophthalmology
fundus dystrophy,ophthalmology
Testicular and paratesticular tumor,oncology
testicular neoplasm,oncology
testicular neoplasms,oncology
mouth neoplasm,oncology
Mouth Neoplasm,oncology
Mouth Neoplasms,oncology
Mouth Tumor,oncology
neoplasm of oral cavity,oncology
oral cavity neoplasm (disease),oncology
oral cavity neoplasms,oncology
oral cavity tumor,oncology
tumor of mouth,oncology
tumor of oral cavity,oncology
bladder tumor,oncology
Bladder Tumor,oncology
Bladder Tumors,oncology
Neoplasm of Bladder,oncology
Neoplasm of the Bladder,oncology
Neoplasm of the Urinary Bladder,oncology
Neoplasm of Urinary Bladder,oncology
Tumor of Bladder,oncology
Tumor of the Bladder,oncology
Tumor of the Urinary Bladder,oncology
tumor of urinary bladder,oncology
urinary bladder neoplasm,oncology
Urinary Bladder Neoplasm,oncology
urinary bladder neoplasm (disease),oncology
Urinary Bladder Neoplasms,oncology
urinary bladder tumor,oncology
Urinary Bladder Tumors,oncology
CMAMMA,endocrinology
combined malonic and methylmalonic aciduria,endocrinology
COMBINED MALONIC AND METHYLMALONIC ACIDURIA,endocrinology
COMBINED MALONIC AND METHYLMALONIC ACIDURIA; CMAMMA,endocrinology
Testicular and paratesticular tumor,endocrinology
testicular neoplasm,endocrinology
testicular neoplasms,endocrinology
Bone Mineral Density Quantitative Trait Locus,endocrinology
"Osteoporosis, Postmenopausal",endocrinology
postmenopausal osteoporosis,rheumatology
oral cavity neoplasm,oral and maxillofacial surgery
recurrent pneumonia,infectious diseases
Bone Mineral Density Quantitative Trait Locus,rheumatology
"Osteoporosis, Postmenopausal",rheumatology
mouth neoplasm,oral and maxillofacial surgery
Mouth Neoplasm,oral and maxillofacial surgery
Mouth Neoplasms,oral and maxillofacial surgery
Mouth Tumor,oral and maxillofacial surgery
neoplasm of oral cavity,oral and maxillofacial surgery
oral cavity neoplasm (disease),oral and maxillofacial surgery
oral cavity neoplasms,oral and maxillofacial surgery
oral cavity tumor,oral and maxillofacial surgery
tumor of mouth,oral and maxillofacial surgery
tumor of oral cavity,oral and maxillofacial surgery
obsolete atypical Mycobacterium infectious disease,infectious diseases
desmoplastic small round cell tumor,oncology
desmoplastic small round cell tumor (morphologic abnormality),oncology
desmoplastic small round-cell neoplasm,oncology
Embryonal rhabdomyosarcoma,oncology
ES,oncology
Epithelioid Sarcoma,oncology
epithelioid cell sarcoma,oncology
epithelioid sarcoma (morphologic abnormality),oncology
fibroepithelial neoplasm,oncology
Fibroepithelial neoplasm (morphologic abnormality),oncology
Fibroepithelial neoplasm NOS (morphologic abnormality),oncology
Fibroepithelial tumor,oncology
Fibroepithelial tumor (qualifier value),oncology
Fibroepithelial tumors,oncology
"Neoplasms, Fibroepithelial",oncology
obsolete fibroepithelial neoplasm,oncology
gonadal tissue neoplasm,oncology
obsolete gonadal tissue neoplasm,oncology
Angioendothelioma,oncology
Hemangioendothelioma,oncology
Histiocytoma,oncology
mediastinal tumor,oncology
neoplasm of mediastinum,oncology
Mediastinal Cancer,oncology
cancer of mediastinum,oncology
Cancer of the Mediastinum,oncology
Malignant Mediastinal Neoplasm,oncology
Malignant Mediastinal Neoplasm NOS,oncology
Malignant Mediastinal Tumor,oncology
malignant mediastinum neoplasm,oncology
Malignant Neoplasm of Mediastinum,oncology
Malignant Neoplasm of the Mediastinum,oncology
Malignant Tumor of Mediastinum,oncology
Malignant Tumor of the Mediastinum,oncology
mediastinum cancer,oncology
neoplasm of mediastinum (disorder),oncology
Tumour of mediastinum,oncology
inflammatory breast neoplasm,oncology
inflammatory breast neoplasms,oncology
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,oncology
CMAMMA,medical genetics
combined malonic and methylmalonic aciduria,medical genetics
COMBINED MALONIC AND METHYLMALONIC ACIDURIA,medical genetics
COMBINED MALONIC AND METHYLMALONIC ACIDURIA; CMAMMA,medical genetics
combined malonic and methylmalonic acidemia,endocrinology
tumor of testis and paratestis,endocrinology
postmenopausal osteoporosis,endocrinology
combined malonic and methylmalonic acidemia,medical genetics
desmoplastic small-round-cell tumor,oncology
embryonal rhabdomyosarcoma,oncology
epithelioid sarcoma,oncology
Fibrocartilaginous mesenchymoma of bone,oncology
fibroepithelial neoplasms,oncology
Glassy cell carcinoma of the cervix,oncology
gonadal tissue neoplasms,oncology
hemangioendothelioma,oncology
Hepatosplenic T-cell lymphoma,oncology
histiocytic sarcoma,oncology
histiocytoma,oncology
mediastinal cancer,oncology
inflammatory breast cancer,oncology
precursor B-cell lymphoblastic leukemia,oncology
type III hereditary angioedema,cardiology
central nervous system vascular malformations,cardiology
neurovascular malformation,cardiology
hypertensive intracranial haemorrhage,cardiology
"Intracranial Hemorrhage, Hypertensive",cardiology
ventricular dysfunction,cardiology
hereditary angioedema type III,cardiology
central nervous system vascular malformation,cardiology
ectopic atrial tachycardia,cardiology
endarteritis,cardiology
myocardial reperfusion injury,cardiology
central nervous system venous angioma,cardiology
hypertensive intracranial hemorrhage,cardiology
prenatal exposure effect,obstetrics and gynaecology
True hermaphroditism,obstetrics and gynaecology
"46,XX ovotesticular DSD",obstetrics and gynaecology
Ovotesticular Differences of Sex Development,obstetrics and gynaecology
ovotesticular disorders of sex development,obstetrics and gynaecology
adnexal diseases,obstetrics and gynaecology
urinary fistulas,obstetrics and gynaecology
angular pregnancy,obstetrics and gynaecology
prenatal exposure delayed effects,obstetrics and gynaecology
ovotesticular disorder of sex development,obstetrics and gynaecology
adnexal disease,obstetrics and gynaecology
urinary fistula,obstetrics and gynaecology
incomplete abortion,obstetrics and gynaecology
Fdh,endocrinology
Euthyroid Hyperthyroxinemia 1,endocrinology
FDAH,endocrinology
"HYPERTHYROXINEMIA, FAMILIAL DYSALBUMINEMIC",endocrinology
"HYPERTHYROXINEMIA, FAMILIAL DYSALBUMINEMIC; FDAH",endocrinology
Familial partial lipodystrophy,endocrinology
FPLD3,endocrinology
PPARG-related FPLD,endocrinology
Dunnigan Syndrome,endocrinology
Familial partial lipodystrophy type 3,endocrinology
Koberling-Dunnigan Syndrome,endocrinology
"Lipodystrophy, Familial Partial, Associated With Pparg Mutations",endocrinology
"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3",endocrinology
"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3; FPLD3",endocrinology
FRASIER SYNDROME,endocrinology
Galactosemia II,endocrinology
GGM,endocrinology
complex carbohydrate intolerance,endocrinology
garbohydrate intolerance of glucose galactose,endocrinology
glucose galactose malabsorption deficiency,endocrinology
GLUCOSE/GALACTOSE MALABSORPTION,endocrinology
GLUCOSE/GALACTOSE MALABSORPTION; GGM,endocrinology
monosaccharide malabsorption,endocrinology
SGLT1 deficiency,endocrinology
HIV-associated lipodystrophy syndrome,endocrinology
obsolete HIV-associated lipodystrophy syndrome,endocrinology
4-alpha-hydroxyphenylpyruvate hydroxylase deficiency,endocrinology
4-HPPD deficiency,endocrinology
4-hydroxyphenylpyruvic acid dioxygenase deficiency,endocrinology
HAWKINSINURIA,endocrinology
Hipoalfalipoproteinemia,endocrinology
Estrogen deficiency,endocrinology
Oestrogen deficiency,endocrinology
Endocrine bone disease,endocrinology
familial dysalbuminemic hyperthyroxinemia,endocrinology
familial partial lipodystrophy,endocrinology
Fatty-acid metabolism disorder,endocrinology
Frasier syndrome,endocrinology
galactokinase deficiency,endocrinology
glucose-galactose malabsorption,endocrinology
HIV-associated lipodystrophy,endocrinology
hawkinsinuria,endocrinology
hyperphenylalaninemia,endocrinology
hypoalphalipoproteinemia,endocrinology
Hypoestrogenism,endocrinology
adult lead poisoning of the nervous system,neurology
adult lead poisoning,neurology
optic nerve injury,neurology
central nervous system protozoal infection,neurology
maxillary fracture,neurology
neurobehavioral manifestation,neurology
central nervous system vascular malformation,neurology
insulin coma,neurology
central nervous system bacterial infection,neurology
depressed skull fracture,neurology
central auditory disease,neurology
vestibulocochlear nerve injury,neurology
spina bifida cystica,neurology
sleep-wake disorder,neurology
post-head injury coma,neurology
central nervous system venous angioma,neurology
hypertensive intracranial hemorrhage,neurology
secondary headache disorder,neurology
optic nerve injuries,neurology
central nervous system protozoal infections,neurology
maxillary fractures,neurology
neurobehavioral manifestations,neurology
neurobehavioural manifestation,neurology
neurobehavioural manifestations,neurology
central nervous system vascular malformations,neurology
neurovascular malformation,neurology
bacterial infection of the central nervous system,neurology
bacterial infections of the central nervous system,neurology
central nervous system bacterial infections,neurology
depressed skull fractures,neurology
"Auditory Diseases, Central",neurology
central auditory diseases,neurology
vestibulocochlear nerve injuries,neurology
Open Spina Bifida,neurology
Spina Bifida Aperta,neurology
Spina Bifida Manifesta,neurology
"Spina Bifida, Open",neurology
sleep wake disorder,neurology
sleep-wake disorders,neurology
head injury coma,neurology
hypertensive intracranial haemorrhage,neurology
"Intracranial Hemorrhage, Hypertensive",neurology
secondary headache disorders,neurology
Epidermal nevus syndrome,dermatology
linear IgA bullous dermatosis,dermatology
familial partial lipodystrophy,dermatology
Generalized pustular psoriasis,dermatology
Graham-Little syndrome,dermatology
Granulomatous mastitis,dermatology
HIV-associated lipodystrophy,dermatology
inflammatory breast cancer,dermatology
hydroa vacciniforme,dermatology
Feuerstein and Mims syndrome,dermatology
Solomon's syndrome,dermatology
LABD,dermatology
Familial partial lipodystrophy,dermatology
FPLD3,dermatology
PPARG-related FPLD,dermatology
Dunnigan Syndrome,dermatology
Familial partial lipodystrophy type 3,dermatology
Koberling-Dunnigan Syndrome,dermatology
"Lipodystrophy, Familial Partial, Associated With Pparg Mutations",dermatology
"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3",dermatology
"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3; FPLD3",dermatology
Acrodermatitis Continua of Hallopeau,dermatology
generalized pustular psoriasis,dermatology
Generalized Pustular Psoriasis,dermatology
GPP,dermatology
Interleukin 36 Receptor Antagonist Deficiency,dermatology
Palmoplantar Pustulosis,dermatology
"psoriasis 14, pustular",dermatology
"PSORIASIS 14, PUSTULAR",dermatology
"PSORIASIS 14, PUSTULAR; PSORS14",dermatology
Psorp,dermatology
PSORS14,dermatology
Graham-Little-Piccardi-Lassueur syndrome,dermatology
Graham Little syndrome,dermatology
Piccardi-Lassueur-Little syndrome,dermatology
Idiopathic granulomatous mastitis,dermatology
HIV-associated lipodystrophy syndrome,dermatology
obsolete HIV-associated lipodystrophy syndrome,dermatology
inflammatory breast neoplasm,dermatology
inflammatory breast neoplasms,dermatology
HV,dermatology
Pulmonary alveolar microlithiasis,pulmonology
pulmonary alveolar microlithiasis (disorder),pulmonology
gingiva disorder,oral and maxillofacial surgery
Gingival disease (disorder),oral and maxillofacial surgery
gingival diseases,oral and maxillofacial surgery
pulmonary alveolar microlithiasis,pulmonology
Diastasis symphysis pubis,rheumatology
Endocrine bone disease,rheumatology
gingival disease,oral and maxillofacial surgery
rhinoscleroma,infectious diseases
histiocytic sarcoma,angiology
endotoxemia,infectious diseases
streptococcal infection,infectious diseases
hookworm disease,infectious diseases
commensal streptococcal infectious disease,infectious diseases
"Infection, Streptococcal",infectious diseases
"Infections, Streptococcal",infectious diseases
obsolete primary streptococcal infectious disease,infectious diseases
primary streptococcal infectious disease,infectious diseases
Streptococcal Infection,infectious diseases
"Streptococcal infection, unspecified (disorder)",infectious diseases
streptococcal infections,infectious diseases
streptococcal infectious disease,infectious diseases
Streptococcal infectious disease (disorder),infectious diseases
streptococcosis,infectious diseases
Streptococcus infection,infectious diseases
Hookworm Infection,infectious diseases
ancylostomiasis and necatoriasis,infectious diseases
Bunostomiases,infectious diseases
Bunostomiasis,infectious diseases
hookworm infectious disease,infectious diseases
"Infection, Hookworm",infectious diseases
"Infections, Hookworm",infectious diseases
obsolete hookworm infectious disease,infectious diseases
hereditary angioedema type III,immunology
"hyper-IgM immunodeficiency syndrome, Type 1",immunology
large-cell immunoblastic lymphoma,immunology
HIV seropositivity,immunology
type III hereditary angioedema,immunology
"hyper-IgM immunodeficiency syndrome, Type 1",hematology
refractory anemia,hematology
Dientamoebiases,infectious diseases
intestinal trichomoniasis,infectious diseases
Candida Esophagitis,infectious diseases
Candidal esophagitis,infectious diseases
Candidiasis of the esophagus,infectious diseases
Candidiasis of the esophagus (disorder),infectious diseases
esophageal moniliasis,infectious diseases
esophageal thrush,infectious diseases
Congenital toxoplasmosis,infectious diseases
Congenital toxoplasmosis (disorder),infectious diseases
Toxoplasma embryofetopathy,infectious diseases
Toxoplasma embryopathy,infectious diseases
Toxoplasmosis - congen.,infectious diseases
"Toxoplasmosis, Congenital",infectious diseases
infection by geotrichum,infectious diseases
Disseminated gonococcal infection,infectious diseases
Acanthamoeba encephalitis,infectious diseases
Acanthamoeba granulomatous encephalitis,infectious diseases
Balamuthia amoebic encephalitis,infectious diseases
Granulomatous Amebic Encephalitis due to Acanthamoeba,infectious diseases
granulomatous amoebic encephalitis,infectious diseases
Tinea pedis,infectious diseases
athlete's foot,infectious diseases
Dermatophytosis of foot,infectious diseases
Dermatophytosis of foot (& tinea pedis),infectious diseases
Dermatophytosis of foot (disorder),infectious diseases
pes dermatophytosis,infectious diseases
ringworm of foot,infectious diseases
Tinea pedis (disorder),infectious diseases
HIV-associated lipodystrophy syndrome,infectious diseases
obsolete HIV-associated lipodystrophy syndrome,infectious diseases
Rhinoscleroma (disorder),infectious diseases
dientamoebiasis,infectious diseases
esophageal candidiasis,infectious diseases
congenital toxoplasmosis,infectious diseases
geotrichosis,infectious diseases
Gonococcemia,infectious diseases
granulomatous amebic encephalitis,infectious diseases
tinea pedis,infectious diseases
HIV-associated lipodystrophy,infectious diseases
refractory anaemia,hematology
collagenous sprue,gastroenterology
liver parasitic disease,gastroenterology
esophageal cyst,gastroenterology
neutropenic enterocolitis,gastroenterology
cholera morbus,gastroenterology
end-stage liver disease,gastroenterology
Ichthyosis hystrix,medical genetics
"Liver Diseases, Parasitic",gastroenterology
liver parasitic diseases,gastroenterology
parasitic disease of the liver,gastroenterology
parasitic diseases of the liver,gastroenterology
parasitic liver disease,gastroenterology
parasitic liver diseases,gastroenterology
oesophageal cyst,gastroenterology
Gonadotropin-resistant ovary syndrome,gynaecology
Resistant ovary syndrome,gynaecology
Resistant Ovary Syndrome,gynaecology
Savage syndrome,gynaecology
"Infant, Premature, Diseases",pediatrics
premature infant diseases,pediatrics
premature infant disease,pediatrics
Keratosis palmoplantaris-periodontopathia-onychogryposis syndrome,medical genetics
Palmoplantar hyperkeratosis-periodontopathia-onychogryposis syndrome,medical genetics
Palmoplantar keratoderma-periodontopathia-onychogryposis syndrome,medical genetics
TOC,medical genetics
Bennion-Patterson syndrome,medical genetics
Howel-Evans syndrome,medical genetics
Howell-Evans syndrome,medical genetics
Keratosis palmaris et plantaris with esophageal cancer,medical genetics
Keratosis palmoplantaris with esophageal cancer,medical genetics
Keratosis palmoplantaris-esophageal carcinoma syndrome,medical genetics
Leukoplakia with tylosis and esophageal carcinoma,medical genetics
Palmoplantar hyperkeratosis-esophageal carcinoma syndrome,medical genetics
Palmoplantar Keratoderma With Esophageal Cancer,medical genetics
palmoplantar keratoderma-esophageal carcinoma syndrome,medical genetics
Palmoplantar keratoderma-esophageal carcinoma syndrome,medical genetics
Tylosis - oesophageal carcinoma,medical genetics
TYLOSIS WITH ESOPHAGEAL CANCER,medical genetics
